canonical_id,alias,norm_alias,match_method,confidence
entity:artifacttype:jewelry-decorative-arts-fingernail-guard,Jewelry; Decorative arts; Fingernail guard,jewelry decorative arts fingernail guard,norm_label,1.0
entity:artifacttype:jewelry-decorative-arts-headgear,Jewelry; Decorative arts; Headgear,jewelry decorative arts headgear,norm_label,1.0
entity:artifacttype:knife-money,knife money,knife money,norm_label,1.0
entity:artifacttype:knives-decorative-arts-cutlery,Knives; Decorative arts; Cutlery,knives decorative arts cutlery,norm_label,1.0
entity:artifacttype:lace-handkerchief-edging-lace-needlework,"lace, handkerchief edging; Lace (needlework)",lace handkerchief edging lace needlework,norm_label,1.0
entity:artifacttype:lace-needlework,Lace (needlework),lace needlework,norm_label,1.0
entity:artifacttype:lace-needlework-lace-sample,"Lace (needlework); lace, sample",lace needlework lace sample,norm_label,1.0
entity:artifacttype:lacquer-works,Lacquer works,lacquer works,norm_label,1.0
entity:artifacttype:lantern-slide-games-toys-recreational-artifacts,Lantern slide; Games; Toys (recreational artifacts),lantern slide games toys recreational artifacts,norm_label,1.0
entity:artifacttype:lighting-devices,Lighting Devices,lighting devices,norm_label,1.0
entity:artifacttype:lithographs,Lithographs,lithographs,norm_label,1.0
entity:artifacttype:lobby-cards,Lobby cards,lobby cards,norm_label,1.0
entity:artifacttype:main-garments-trousers-girls-girl-trousers,"Main garments; trousers, girl's; Girl; Trousers",main garments trousers girls girl trousers,norm_label,1.0
entity:artifacttype:manuscripts,Manuscripts,manuscripts,norm_label,1.0
entity:artifacttype:masks,Masks,masks,norm_label,1.0
entity:artifacttype:match-safes-containers-decorative-arts,Match safes; Containers; Decorative arts,match safes containers decorative arts,norm_label,1.0
entity:artifacttype:material-specimens,Material Specimens,material specimens,norm_label,1.0
entity:artifacttype:mats-furniture-coverings-embroidery-visual-works,Mats (furniture coverings); Embroidery (visual works),mats furniture coverings embroidery visual works,norm_label,1.0
entity:artifacttype:measuring-devices-sundial-compass-timepieces-decorative-arts,Measuring devices; sundial compass; Timepieces; Decorative arts,measuring devices sundial compass timepieces decorative arts,norm_label,1.0
entity:artifacttype:medallions-medals-embroidery-visual-works,Medallions (medals); Embroidery (visual works),medallions medals embroidery visual works,norm_label,1.0
entity:artifacttype:metalwork,Metalwork,metalwork,norm_label,1.0
entity:artifacttype:metalwork-decorative-arts,Metalwork; Decorative arts,metalwork decorative arts,norm_label,1.0
entity:artifacttype:metalwork-decorative-arts-teapots,Metalwork; Decorative arts; Teapots,metalwork decorative arts teapots,norm_label,1.0
entity:artifacttype:mirrors,Mirrors,mirrors,norm_label,1.0
entity:artifacttype:models,Models,models,norm_label,1.0
entity:artifacttype:musical-instruments,Musical instruments,musical instruments,norm_label,1.0
entity:artifacttype:natural-materials,Natural materials,natural materials,norm_label,1.0
entity:artifacttype:neckwear-costume-accessories-costume,Neckwear; Costume accessories; Costume,neckwear costume accessories costume,norm_label,1.0
entity:artifacttype:neckwear-embroidery-visual-works,Neckwear; Embroidery (visual works),neckwear embroidery visual works,norm_label,1.0
entity:artifacttype:newspaper-clipping-printed-clipping-newspaper,"Newspaper Clipping; Printed; clipping, newspaper",newspaper clipping printed clipping newspaper,norm_label,1.0
entity:artifacttype:ornaments-jewelry,Ornaments; Jewelry,ornaments jewelry,norm_label,1.0
entity:artifacttype:ornaments-prints,Ornaments; Prints,ornaments prints,norm_label,1.0
entity:artifacttype:paintings,Paintings,paintings,norm_label,1.0
entity:artifacttype:paintings-figures-representations,Paintings; Figures (representations),paintings figures representations,norm_label,1.0
entity:artifacttype:paintings-still-lifes,Paintings; Still lifes,paintings still lifes,norm_label,1.0
entity:artifacttype:paintings-with-calligraphy,Paintings with Calligraphy,paintings with calligraphy,norm_label,1.0
entity:artifacttype:panel-for-a-fan-case-embroidery-visual-works,Panel for a fan case; Embroidery (visual works),panel for a fan case embroidery visual works,norm_label,1.0
entity:artifacttype:panels,Panels,panels,norm_label,1.0
entity:artifacttype:panels-textiles,Panels; Textiles,panels textiles,norm_label,1.0
entity:artifacttype:photographs,Photographs,photographs,norm_label,1.0
entity:artifacttype:photographs-furniture,Photographs; Furniture,photographs furniture,norm_label,1.0
entity:artifacttype:pictures-object-genre,Pictures (object genre),pictures object genre,norm_label,1.0
entity:artifacttype:pillow-shams-textiles,Pillow shams; Textiles,pillow shams textiles,norm_label,1.0
entity:artifacttype:plaques,Plaques,plaques,norm_label,1.0
entity:artifacttype:plate-plate,plate; Plate,plate plate,norm_label,1.0
entity:artifacttype:platters,Platters,platters,norm_label,1.0
entity:artifacttype:prints,Prints,prints,norm_label,1.0
entity:artifacttype:punch-bowls,Punch bowls,punch bowls,norm_label,1.0
entity:artifacttype:punch-card-railroad,"punch card, railroad",punch card railroad,norm_label,1.0
entity:artifacttype:rank-badge-buzi-textiles,Rank badge (buzi); Textiles,rank badge buzi textiles,norm_label,1.0
entity:artifacttype:recreational-artifacts,Recreational Artifacts,recreational artifacts,norm_label,1.0
entity:artifacttype:ribbon-material-textiles,Ribbon (material); Textiles,ribbon material textiles,norm_label,1.0
entity:artifacttype:riding-equipment,Riding Equipment,riding equipment,norm_label,1.0
entity:artifacttype:ritual-implements,Ritual Implements,ritual implements,norm_label,1.0
entity:artifacttype:ritual-objects-metalwork-decorative-arts,Ritual objects Metalwork Decorative arts,ritual objects metalwork decorative arts,norm_label,1.0
entity:artifacttype:roundels-embroidery-visual-works,Roundels; Embroidery (visual works),roundels embroidery visual works,norm_label,1.0
entity:artifacttype:rubbings,Rubbings,rubbings,norm_label,1.0
entity:artifacttype:saucers-plates,Saucers (plates),saucers plates,norm_label,1.0
entity:artifacttype:scores,Scores,scores,norm_label,1.0
entity:artifacttype:sculpture,Sculpture,sculpture,norm_label,1.0
entity:artifacttype:sculpture-decorative-arts-covered-bowls,Sculpture; Decorative arts; Covered bowls,sculpture decorative arts covered bowls,norm_label,1.0
entity:artifacttype:sculpture-figures-representations-decorative-arts,Sculpture; Figures (representations); Decorative arts,sculpture figures representations decorative arts,norm_label,1.0
entity:artifacttype:sculpture-sculpture-on-stand-decorative-arts,Sculpture; Sculpture on stand; Decorative arts,sculpture sculpture on stand decorative arts,norm_label,1.0
entity:artifacttype:seals,Seals,seals,norm_label,1.0
entity:artifacttype:shades-coverings-wall-coverings,Shades (coverings); Wall coverings,shades coverings wall coverings,norm_label,1.0
entity:artifacttype:shawls-embroidery-visual-works,Shawls; Embroidery (visual works),shawls embroidery visual works,norm_label,1.0
entity:artifacttype:shirts-jean-jackets-jackets-trousers-jeans,Shirts; jean jackets; jackets; Trousers; jeans,shirts jean jackets jackets trousers jeans,norm_label,1.0
entity:artifacttype:sleeve-cuff-embroidery-visual-works,Sleeve cuff; Embroidery (visual works),sleeve cuff embroidery visual works,norm_label,1.0
entity:artifacttype:sleeves-embroidery-visual-works,Sleeves; Embroidery (visual works),sleeves embroidery visual works,norm_label,1.0
entity:artifacttype:snuff-bottle-and-stopper-containers-decorative-arts,Snuff bottle and stopper; Containers; Decorative arts,snuff bottle and stopper containers decorative arts,norm_label,1.0
entity:artifacttype:songs,Songs,songs,norm_label,1.0
entity:artifacttype:songsheet,songsheet,songsheet,norm_label,1.0
entity:artifacttype:spectacle-case-embroidery-visual-works,Spectacle case; Embroidery (visual works),spectacle case embroidery visual works,norm_label,1.0
entity:artifacttype:spoons,Spoons,spoons,norm_label,1.0
