canonical_id,entity_type,label,norm_label,uri,external_id,source_count
entity:artifacttype:costume-accessories-costume-fan-case-and-bag,ArtifactType,Costume accessories; Costume; Fan case and bag,costume accessories costume fan case and bag,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/costume-accessories-costume-fan-case-and-bag,,1
entity:artifacttype:costume-accessories-costume-fans-costume-accessories-cases-containers,ArtifactType,Costume accessories; Costume; Fans (costume accessories); Cases (containers),costume accessories costume fans costume accessories cases containers,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/costume-accessories-costume-fans-costume-accessories-cases-containers,,2
entity:artifacttype:costume-accessories-costume-nurses-jacket-and-pants,ArtifactType,Costume accessories; Costume; Nurse's jacket and pants,costume accessories costume nurses jacket and pants,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/costume-accessories-costume-nurses-jacket-and-pants,,1
entity:artifacttype:costume-accessories-costume-panel-for-a-fan-case,ArtifactType,Costume accessories; Costume; Panel for a fan case,costume accessories costume panel for a fan case,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/costume-accessories-costume-panel-for-a-fan-case,,2
entity:artifacttype:costume-accessories-costume-pleated-fan,ArtifactType,Costume accessories; Costume; Pleated fan,costume accessories costume pleated fan,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/costume-accessories-costume-pleated-fan,,6
entity:artifacttype:costume-accessories-costume-robe-for-a-statue,ArtifactType,Costume accessories; Costume; Robe for a statue,costume accessories costume robe for a statue,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/costume-accessories-costume-robe-for-a-statue,,1
entity:artifacttype:costume-accessories-costume-robes-main-garments,ArtifactType,Costume accessories; Costume; Robes (main garments),costume accessories costume robes main garments,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/costume-accessories-costume-robes-main-garments,,3
entity:artifacttype:costume-accessories-costume-skirts-garments,ArtifactType,Costume accessories; Costume; Skirts (garments),costume accessories costume skirts garments,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/costume-accessories-costume-skirts-garments,,1
entity:artifacttype:costume-accessories-costume-stockings,ArtifactType,Costume accessories; Costume; Stockings,costume accessories costume stockings,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/costume-accessories-costume-stockings,,1
entity:artifacttype:costume-accessories-costume-trousers,ArtifactType,Costume accessories; Costume; Trousers,costume accessories costume trousers,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/costume-accessories-costume-trousers,,1
entity:artifacttype:costume-accessories-costume-womans-robe,ArtifactType,Costume accessories; Costume; Woman's robe,costume accessories costume womans robe,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/costume-accessories-costume-womans-robe,,1
entity:artifacttype:costume-accessories-costume-womans-short-robe,ArtifactType,Costume accessories; Costume; Woman's short robe,costume accessories costume womans short robe,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/costume-accessories-costume-womans-short-robe,,1
entity:artifacttype:costume-accessories-costume-womans-surcoat,ArtifactType,Costume accessories; Costume; Woman's surcoat,costume accessories costume womans surcoat,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/costume-accessories-costume-womans-surcoat,,1
entity:artifacttype:costume-accessories-fire-screens-furniture-costume-costume-accessories-carried-handscreens,ArtifactType,Costume accessories; Fire screens (furniture); Costume; Costume accessories carried; Handscreens,costume accessories fire screens furniture costume costume accessories carried handscreens,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/costume-accessories-fire-screens-furniture-costume-costume-accessories-carried-handscreens,,3
entity:artifacttype:costume-accessories-handscreen-and-case-costume,ArtifactType,Costume accessories; Handscreen and case; Costume,costume accessories handscreen and case costume,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/costume-accessories-handscreen-and-case-costume,,1
entity:artifacttype:costume-accessories-mans-robe-costume,ArtifactType,Costume accessories; Man's robe; Costume,costume accessories mans robe costume,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/costume-accessories-mans-robe-costume,,1
entity:artifacttype:costume-accessories-uncut-textiles,ArtifactType,Costume accessories (uncut); Textiles,costume accessories uncut textiles,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/costume-accessories-uncut-textiles,,2
entity:artifacttype:costume-textiles,ArtifactType,Costume; Textiles,costume textiles,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/costume-textiles,,34
entity:artifacttype:costumes,ArtifactType,Costumes,costumes,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/costumes,,58
entity:artifacttype:curtain-panel-textiles,ArtifactType,Curtain panel; Textiles,curtain panel textiles,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/curtain-panel-textiles,,1
entity:artifacttype:cushion-cover-textiles,ArtifactType,Cushion cover; Textiles,cushion cover textiles,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/cushion-cover-textiles,,1
entity:artifacttype:daoist-priests-robe-embroidery-visual-works,ArtifactType,Daoist priest's robe; Embroidery (visual works),daoist priests robe embroidery visual works,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/daoist-priests-robe-embroidery-visual-works,,1
entity:artifacttype:decorative-arts,ArtifactType,Decorative arts,decorative arts,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/decorative-arts,,21
entity:artifacttype:desks-furniture-decorative-arts,ArtifactType,Desks; Furniture; Decorative arts,desks furniture decorative arts,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/desks-furniture-decorative-arts,,1
