canonical_id,museum_id,object_id,field_name,raw_value,source_file
entity:artifact:1:ld1-1643390182193-1643390186513-0,1,ld1-1643390182193-1643390186513-0,title,Mandarin ducks under smartweed,smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390186515-0,1,ld1-1643390182193-1643390186515-0,title,"Mountain mist, spring morning",smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390186517-0,1,ld1-1643390182193-1643390186517-0,title,Misty mountains,smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390186518-0,1,ld1-1643390182193-1643390186518-0,title,Celestial Horses,smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390186519-0,1,ld1-1643390182193-1643390186519-0,title,Landscape in blue and green,smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390186521-1,1,ld1-1643390182193-1643390186521-1,title,Cloudy mountains,smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390186522-0,1,ld1-1643390182193-1643390186522-0,title,Landscape with palaces,smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390186523-0,1,ld1-1643390182193-1643390186523-0,title,Landscape in blue and green,smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390186525-0,1,ld1-1643390182193-1643390186525-0,title,Herdboys and water buffaloes crossing a stream,smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390186526-0,1,ld1-1643390182193-1643390186526-0,title,The Wang River estate,smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390186527-0,1,ld1-1643390182193-1643390186527-0,title,Portraits and documents of the Gong family,smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390186528-0,1,ld1-1643390182193-1643390186528-0,title,The eighteen scholars at a literary gathering,smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390186529-0,1,ld1-1643390182193-1643390186529-0,title,"Snow clearing on mountains and rivers, after Wang Wei",smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390186534-0,1,ld1-1643390182193-1643390186534-0,title,Landscape: mountains in mist,smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390186536-0,1,ld1-1643390182193-1643390186536-0,title,A hundred birds worship the phoenixes,smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390186539-0,1,ld1-1643390182193-1643390186539-0,title,Scenes from the lives of famous men,smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390186541-0,1,ld1-1643390182193-1643390186541-0,title,Imperial palaces,smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390186542-0,1,ld1-1643390182193-1643390186542-0,title,Travelers on the road to Shu,smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390186544-0,1,ld1-1643390182193-1643390186544-0,title,Houses at the waterside,smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390186545-1,1,ld1-1643390182193-1643390186545-1,title,Landscape with travelers,smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390186547-0,1,ld1-1643390182193-1643390186547-0,title,"Flowers, birds, and insects",smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390186548-0,1,ld1-1643390182193-1643390186548-0,title,A hunting scene,smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390186550-0,1,ld1-1643390182193-1643390186550-0,title,Luohans crossing land and sea,smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390186551-0,1,ld1-1643390182193-1643390186551-0,title,Conversing beside the Hao River,smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390186552-0,1,ld1-1643390182193-1643390186552-0,title,Broad bean flowers and butterflies,smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390186553-0,1,ld1-1643390182193-1643390186553-0,title,"Flowers, plants, and insects",smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390186554-0,1,ld1-1643390182193-1643390186554-0,title,Treaty at the Bian Bridge ãæ±´æ©æçåã,smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390186555-0,1,ld1-1643390182193-1643390186555-0,title,Life on the river,smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390186556-0,1,ld1-1643390182193-1643390186556-0,title,"Ocean sky, rising sun",smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390186558-1,1,ld1-1643390182193-1643390186558-1,title,Spray of roses,smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390186560-0,1,ld1-1643390182193-1643390186560-0,title,A branch of loquats and a bird,smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390186561-0,1,ld1-1643390182193-1643390186561-0,title,Basket of flowers,smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390186562-0,1,ld1-1643390182193-1643390186562-0,title,"Landscape: a mountain brook, a pine, bamboo and blue-jays",smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390186563-0,1,ld1-1643390182193-1643390186563-0,title,Landscape: two men on a river-bank under a pine-tree,smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390186564-1,1,ld1-1643390182193-1643390186564-1,title,"Landscape: hills, valley, and stream",smithsonian_institution.csv
