artifact_id,museum_id,object_id,title
entity:artifact:1:ld1-1643390182193-1643390186568-0,1,ld1-1643390182193-1643390186568-0,"Landscape: a mountainside, a wide stream and distant hills"
entity:artifact:1:ld1-1643390182193-1643390186569-0,1,ld1-1643390182193-1643390186569-0,Sheep and shepherd-boy under a willow
entity:artifact:1:ld1-1643390182193-1643390186576-0,1,ld1-1643390182193-1643390186576-0,Landscape: a man under a pine
entity:artifact:1:ld1-1643390182193-1643390186576-1,1,ld1-1643390182193-1643390186576-1,Winter landscape
entity:artifact:1:ld1-1643390182193-1643390186578-0,1,ld1-1643390182193-1643390186578-0,Landscape: pavilions on a mountain side; a stream below
entity:artifact:1:ld1-1643390182193-1643390186579-0,1,ld1-1643390182193-1643390186579-0,Birds and peaches
entity:artifact:1:ld1-1643390182193-1643390186579-1,1,ld1-1643390182193-1643390186579-1,A blue glass dish filled with fruit
entity:artifact:1:ld1-1643390182193-1643390186581-0,1,ld1-1643390182193-1643390186581-0,Fan mounted as an album leaf
entity:artifact:1:ld1-1643390182193-1643390186583-0,1,ld1-1643390182193-1643390186583-0,Fan mounted as an album leaf
entity:artifact:1:ld1-1643390182193-1643390186584-0,1,ld1-1643390182193-1643390186584-0,Pavilions and people
entity:artifact:1:ld1-1643390182193-1643390186584-1,1,ld1-1643390182193-1643390186584-1,River scene: a man asleep in a boat - ducks swimming by
entity:artifact:1:ld1-1643390182193-1643390186585-0,1,ld1-1643390182193-1643390186585-0,"River landscape: a pagoda, foaming rapids, distant hills"
entity:artifact:1:ld1-1643390182193-1643390186586-0,1,ld1-1643390182193-1643390186586-0,"Landscape: hillsides, rocks, trees, house and a boat"
entity:artifact:1:ld1-1643390182193-1643390186587-0,1,ld1-1643390182193-1643390186587-0,"Mountain landscape: crags, temple and pines"
entity:artifact:1:ld1-1643390182193-1643390186589-0,1,ld1-1643390182193-1643390186589-0,River landscape: a man reading in a boat moored under a blossoming tree
entity:artifact:1:ld1-1643390182193-1643390186590-0,1,ld1-1643390182193-1643390186590-0,Landscape: a palace between lake and mountains
entity:artifact:1:ld1-1643390182193-1643390186592-0,1,ld1-1643390182193-1643390186592-0,Pure sanctuary with pine grown stairs
entity:artifact:1:ld1-1643390182193-1643390186593-0,1,ld1-1643390182193-1643390186593-0,Java Sparrow on a berry branch
entity:artifact:1:ld1-1643390182193-1643390186594-0,1,ld1-1643390182193-1643390186594-0,"River landscape: a willow and other trees, rolling hills, and a high mountain range"
entity:artifact:1:ld1-1643390182193-1643390186597-1,1,ld1-1643390182193-1643390186597-1,"Landscape: trees, houses and a stream among hills"
entity:artifact:1:ld1-1643390182193-1643390186598-0,1,ld1-1643390182193-1643390186598-0,River landscape: trees and houses in the foreground
entity:artifact:1:ld1-1643390182193-1643390186599-1,1,ld1-1643390182193-1643390186599-1,Landscape: cliffs overhanging water - pavilion and pines
entity:artifact:1:ld1-1643390182193-1643390186600-0,1,ld1-1643390182193-1643390186600-0,Birds and plum-blossoms
entity:artifact:1:ld1-1643390182193-1643390186606-1,1,ld1-1643390182193-1643390186606-1,Hawk on a leafless branch
entity:artifact:1:ld1-1643390182193-1643390186607-0,1,ld1-1643390182193-1643390186607-0,Water buffalo and herdboy
entity:artifact:1:ld1-1643390182193-1643390186608-0,1,ld1-1643390182193-1643390186608-0,Horse and groom under a willow
entity:artifact:1:ld1-1643390182193-1643390186608-1,1,ld1-1643390182193-1643390186608-1,Three children playing on a garden terrace
entity:artifact:1:ld1-1643390182193-1643390186609-0,1,ld1-1643390182193-1643390186609-0,Playing the zither under pine trees
