museum_id,object_id,artifact_id
1,ld1-1643390182193-1643390188253-0,entity:artifact:1:ld1-1643390182193-1643390188253-0
1,ld1-1643390182193-1643390188029-0,entity:artifact:1:ld1-1643390182193-1643390188029-0
1,ld1-1643390182193-1643390189618-0,entity:artifact:1:ld1-1643390182193-1643390189618-0
1,ld1-1643390182193-1643390186584-0,entity:artifact:1:ld1-1643390182193-1643390186584-0
1,ld1-1643390182193-1643390188709-0,entity:artifact:1:ld1-1643390182193-1643390188709-0
1,ld1-1643390182193-1643390188330-0,entity:artifact:1:ld1-1643390182193-1643390188330-0
1,ld1-1643390182193-1643390189440-0,entity:artifact:1:ld1-1643390182193-1643390189440-0
1,ld1-1643390182193-1643390189593-1,entity:artifact:1:ld1-1643390182193-1643390189593-1
1,ld1-1643390182193-1643390189703-0,entity:artifact:1:ld1-1643390182193-1643390189703-0
1,ld1-1643390182193-1643390188728-0,entity:artifact:1:ld1-1643390182193-1643390188728-0
1,ld1-1643390182193-1643390189576-0,entity:artifact:1:ld1-1643390182193-1643390189576-0
1,ld1-1643390182193-1643390189739-0,entity:artifact:1:ld1-1643390182193-1643390189739-0
1,ld1-1643390182193-1643390191137-0,entity:artifact:1:ld1-1643390182193-1643390191137-0
1,ld1-1643390182193-1643390189922-1,entity:artifact:1:ld1-1643390182193-1643390189922-1
1,ld1-1643390182193-1643390189376-0,entity:artifact:1:ld1-1643390182193-1643390189376-0
1,ld1-1643390182193-1643390189630-1,entity:artifact:1:ld1-1643390182193-1643390189630-1
1,ld1-1643390182193-1643390185011-0,entity:artifact:1:ld1-1643390182193-1643390185011-0
1,ld1-1643390182193-1643390189297-0,entity:artifact:1:ld1-1643390182193-1643390189297-0
